Symbol name                                       Implemented

COSError                                          No
COSInfo                                           No
COSVReport                                        No
COSVerbose                                        No
COSWarn                                           No
CoreInitDefaultHeap                               No
DCBlockFlush                                      No
DCCoreFlushAll                                    No
DCFlushRange                                      Yes
DCFlushRangeNoSync                                No
DCInvalidateRange                                 No
DCStoreRange                                      No
DCStoreRangeNoSync                                No
DCTouchRange                                      No
DCZeroRange                                       No
DK_BlockClose                                     No
DK_BlockOpen                                      No
DK_BlockRead                                      No
DK_BlockReadAsync                                 No
DK_BlockWrite                                     No
DK_BlockWriteAsync                                No
DK_CharClose                                      No
DK_CharOpen                                       No
DK_CharRead                                       No
DK_CharReadAsync                                  No
DK_CharWrite                                      No
DK_CharWriteAsync                                 No
DK_PCharClose                                     No
DK_PCharFlushWrite                                No
DK_PCharGetStatistics                             No
DK_PCharOpen                                      No
DK_PCharReadAsync                                 No
DK_PCharWrite                                     No
DK_PCharWriteAsync                                No
DK_PPCBlockShimInit                               No
DK_PPCCharShimInit                                No
DK_ShimInit                                       No
DisassemblePPCOpcode                              No
DisassemblePPCRange                               No
ENVGetEnvironmentVariable                         No
FSAAddClient                                      No
FSAAppendFile                                     No
FSAAppendFileAsync                                No
FSAAppendFileEx                                   No
FSAAppendFileExAsync                              No
FSAChangeDir                                      No
FSAChangeDirAsync                                 No
FSAChangeMode                                     No
FSAChangeModeAsync                                No
FSACloseDir                                       No
FSACloseDirAsync                                  No
FSACloseFile                                      No
FSACloseFileAsync                                 No
FSADelClient                                      No
FSAFlushFile                                      No
FSAFlushFileAsync                                 No
FSAFlushMultiQuota                                No
FSAFlushMultiQuotaAsync                           No
FSAFlushQuota                                     No
FSAFlushQuotaAsync                                No
FSAFlushVolume                                    No
FSAFlushVolumeAsync                               No
FSAFreeAsyncResult                                No
FSAGetAsyncResult                                 No
FSAGetBadBlockInfo                                No
FSAGetBadBlockInfoAsync                           No
FSAGetClientNum                                   No
FSAGetCwd                                         No
FSAGetCwdAsync                                    No
FSAGetDeviceInfo                                  No
FSAGetDeviceInfoAsync                             No
FSAGetDirSize                                     No
FSAGetDirSizeAsync                                No
FSAGetEntryNum                                    No
FSAGetEntryNumAsync                               No
FSAGetError                                       No
FSAGetErrorAsync                                  No
FSAGetFileBlockAddress                            No
FSAGetFileBlockAddressAsync                       No
FSAGetFileSystemInfo                              No
FSAGetFileSystemInfoAsync                         No
FSAGetFragmentBlockInfo                           No
FSAGetFragmentBlockInfoAsync                      No
FSAGetFreeSpaceSize                               No
FSAGetFreeSpaceSizeAsync                          No
FSAGetJournalFreeSpaceSize                        No
FSAGetJournalFreeSpaceSizeAsync                   No
FSAGetPosFile                                     No
FSAGetPosFileAsync                                No
FSAGetStat                                        No
FSAGetStatAsync                                   No
FSAGetStatFile                                    No
FSAGetStatFileAsync                               No
FSAGetStatusStr                                   No
FSAGetTransactionBlockPoolAttributes              No
FSAGetVolumeInfo                                  No
FSAGetVolumeInfoAsync                             No
FSAInit                                           No
FSAIsEof                                          No
FSAIsEofAsync                                     No
FSAMakeDir                                        No
FSAMakeDirAsync                                   No
FSAMakeQuota                                      No
FSAMakeQuotaAsync                                 No
FSAMount                                          No
FSAMountAsync                                     No
FSAOpenDir                                        No
FSAOpenDirAsync                                   No
FSAOpenFile                                       No
FSAOpenFileAsync                                  No
FSAOpenFileByStat                                 No
FSAOpenFileByStatAsync                            No
FSAOpenFileEx                                     No
FSAOpenFileExAsync                                No
FSAReadDir                                        No
FSAReadDirAsync                                   No
FSAReadFile                                       No
FSAReadFileAsync                                  No
FSAReadFileWithPos                                No
FSAReadFileWithPosAsync                           No
FSARegisterFlushQuota                             No
FSARegisterFlushQuotaAsync                        No
FSARemove                                         No
FSARemoveAsync                                    No
FSARename                                         No
FSARenameAsync                                    No
FSARewindDir                                      No
FSARewindDirAsync                                 No
FSARollbackQuota                                  No
FSARollbackQuotaAsync                             No
FSARollbackQuotaForce                             No
FSARollbackVolume                                 No
FSARollbackVolumeAsync                            No
