Name                                Implemented

VPADCalcTPCalibrationParam          No
VPADControlMotor                    No
VPADDisableGyroAccRevise            No
VPADDisableGyroDirRevise            No
VPADDisableGyroZeroPlay             No
VPADDisableLStickZeroClamp          No
VPADDisablePowerButton              No
VPADDisableRStickZeroClamp          No
VPADDisableStickCrossClamp          No
VPADEnableGyroAccRevise             No
VPADEnableGyroDirRevise             No
VPADEnableGyroZeroPlay              No
VPADEnableLStickZeroClamp           No
VPADEnablePowerButton               No
VPADEnableRStickZeroClamp           No
VPADEnableStickCrossClamp           No
VPADGetAccParam                     No
VPADGetAccPlayMode                  No
VPADGetButtonProcMode               No
VPADGetCrossStickEmulationParamsL   No
VPADGetCrossStickEmulationParamsR   No
VPADGetGyroAccReviseParam           No
VPADGetGyroDirReviseParam           No
VPADGetGyroMagReviseParam           No
VPADGetGyroZeroDriftMode            No
VPADGetGyroZeroPlayParam            No
VPADGetLStickClampThreshold         No
VPADGetLcdMode                      No
VPADGetRStickClampThreshold         No
VPADGetTPCalibratedPoint            No
VPADGetTPCalibratedPointEx          No
VPADGetTPCalibrationParam           No
VPADGetTVMenuStatus                 No
VPADInit                            Yes
VPADInitGyroAccReviseParam          No
VPADInitGyroDirReviseParam          No
VPADInitGyroZeroDriftMode           No
VPADInitGyroZeroPlayParam           No
VPADIsEnableGyroAccRevise           No
VPADIsEnableGyroDirRevise           No
VPADIsEnableGyroZeroDrift           No
VPADIsEnableGyroZeroPlay            No
VPADIsStartedGyroMagRevise          No
VPADRead                            Yes
VPADResetAccToDefault               No
VPADResetTPToDefault                No
VPADSetAccParam                     No
VPADSetAccPlayMode                  No
VPADSetAudioVolumeOverride          No
VPADSetBtnRepeat                    No
VPADSetButtonProcMode               No
VPADSetCrossStickEmulationParamsL   No
VPADSetCrossStickEmulationParamsR   No
VPADSetGyroAccReviseParam           No
VPADSetGyroAngle                    No
VPADSetGyroDirReviseBase            No
VPADSetGyroDirReviseParam           No
VPADSetGyroDirection                No
VPADSetGyroDirectionMag             No
VPADSetGyroMagReviseParam           No
VPADSetGyroMagnification            No
VPADSetGyroZeroDriftMode            No
VPADSetGyroZeroPlayParam            No
VPADSetLStickClampThreshold         No
VPADSetLcdMode                      No
VPADSetRStickClampThreshold         No
VPADSetSamplingCallback             No
VPADSetSensorBar                    No
VPADSetStickOrigin                  No
VPADSetTPCalibrationParam           No
VPADSetTVMenuInvalid                No
VPADShutdown                        No
VPADStartAccCalibration             No
VPADStartGyroMagRevise              No
VPADStopGyroMagRevise               No
VPADStopMotor                       No
VPADWriteTPCalibrationValueToEEPROM No
start                               No
